a52dec 0.7.4-11
aalib 1.4rc5-14
accountsservice 0.6.55-2
ack 3.4.0-1
acl 2.2.53-3
acpilight 1.2-2
adobe-source-code-pro-fonts 2.030ro+1.050it-6
adwaita-icon-theme 3.36.1-1
alsa-lib 1.2.3.2-1
alsa-plugins 1:1.2.2-2
alsa-topology-conf 1.2.3-1
alsa-ucm-conf 1.2.3-2
alsa-utils 1.2.3-2
ant 1.10.8-1
aom 2.0.0-1
appstream-glib 0.7.17-1
arandr 0.1.10-4
archey3 0.5-10
archlinux-keyring 20200622-1
arcus 4.5.0-2
arduino 1:1.8.13-1
arduino-avr-core 1.8.3-1
arduino-builder 1.5.4-1
arduino-ctags 5.8_arduino11-4
arduino-docs 1.6.6-7
argon2 20190702-3
aribb24 1.0.3-3
arm-none-eabi-binutils 2.34-1
arm-none-eabi-gcc 10.1.0-1
arm-none-eabi-newlib 3.3.0-1
aspell 0.60.8-2
at-spi2-atk 2.34.2-1
at-spi2-core 2.36.0-1
atk 2.36.0-1
atkmm 2.28.0-2
attica 5.72.0-1
attr 2.4.48-3
audit 2.8.5-6
autoconf 2.69-7
autoconf-archive 1:2019.01.06-2
automake 1.16.2-3
avahi 0.8+15+ge8a3dd0-1
avr-binutils 2.34-2
avr-gcc 10.1.0-1
avr-libc 2.0.0-4
avrdude 1:6.3-7
babl 0.1.78-1
bash 5.0.017-1
bash-completion 2.10-2
bc 1.07.1-4
binutils 2.34-5
bison 3.6.4-1
blas 3.9.0-3
bluedevil 1:5.19.3-1
blueman 2.1.3-1
bluez 5.54-2
bluez-libs 5.54-2
bluez-qt 5.72.0-1
bluez-utils 5.54-2
boost 1.72.0-2
boost-libs 1.72.0-2
bridge-utils 1.7-1
brother-hll2390dw 4.0.0-1
brotli 1.0.7-3
btrfs-progs 5.7-1
bubblewrap 0.4.1-1
bumblebee 3.2.1-21
bzip2 1.0.8-3
c-ares 1.16.1-1
ca-certificates 20181109-3
ca-certificates-mozilla 3.54-1
ca-certificates-utils 20181109-3
cairo 1.17.2+25+gaee96d175-1
cairomm 1.12.2-4
cantarell-fonts 1:0.201-1
